site_ID,date,date_str,daily_precip,next_day_precip,weekly_precip,daily_temp
1,2024-04-26,20240426,0.01,0.02,0.54,13.39
1,2023-04-26,20230426,0.06,0.02,0.38,17.08
1,2023-04-13,20230413,13.14,1.68,17.130000000000003,14.94
1,2024-04-10,20240410,0.14,0.08,83.13,14.19
1,2024-04-19,20240419,0.24,0.21,3.83,15
1,2023-04-20,20230420,0.07,0,17.11,15.06
3,2023-04-13,20230413,11.65,1.14,18.1,15.9
4,2023-03-07,20230307,0,1.49,10.42,16.32
7,2023-04-20,20230420,0,0,15.39,15.23
7,2024-04-25,20240425,0.12,0.05,2.18,14.72
7,2024-04-10,20240410,0.79,0.33,48.9,15.73
7,2023-04-13,20230413,9.76,1.09,16.15,16.84
7,2023-04-26,20230426,0.05,0.02,0.29000000000000004,18.06
7,2024-04-19,20240419,0.94,0.24,4.36,15.75
8,2023-04-26,20230426,0.02,0.04,0.54,16.48
8,2023-04-20,20230420,0,0.01,15.879999999999999,12.56
8,2024-04-25,20240425,0.51,0.08,5.720000000000001,12.46
8,2023-04-13,20230413,5.97,1.08,22.68,14.71
8,2024-04-10,20240410,1.86,0.56,42.72,13.49
8,2024-04-20,20240420,0.15,0.02,8,13.22
9,2023-04-26,20230426,0.02,0.04,0.54,16.48
9,2024-04-25,20240425,0.51,0.08,5.720000000000001,12.46
9,2023-04-13,20230413,5.97,1.08,22.68,14.71
9,2024-04-20,20240420,0.15,0.02,8,13.22
9,2023-04-20,20230420,0,0.01,15.879999999999999,12.56
9,2024-04-10,20240410,1.86,0.56,42.72,13.49
10,2024-04-25,20240425,0.51,0.08,5.720000000000001,12.46
10,2024-04-10,20240410,1.86,0.56,42.72,13.49
10,2024-04-20,20240420,0.15,0.02,8,13.22
10,2023-04-26,20230426,0.02,0.04,0.54,16.48
10,2023-04-20,20230420,0,0.01,15.879999999999999,12.56
10,2023-04-13,20230413,5.97,1.08,22.68,14.71
12,2023-04-13,20230413,5.97,1.08,22.68,14.71
12,2024-04-25,20240425,0.51,0.08,5.720000000000001,12.46
12,2023-04-26,20230426,0.02,0.04,0.54,16.48
12,2024-04-10,20240410,1.86,0.56,42.72,13.49
12,2023-04-20,20230420,0,0.01,15.879999999999999,12.56
12,2024-04-20,20240420,0.15,0.02,8,13.22
19,2023-03-13,20230313,6.33,2.46,3.45,14.23
19,2023-03-24,20230324,1.74,6.24,17.07,15.81
19,2023-04-03,20230403,0.62,0.71,25.18,13.67
19,2024-03-03,20240303,0.01,0.09,0.98,18.64
19,2024-03-21,20240321,0.01,0,41.76,10.45
19,2024-03-14,20240314,6.43,1.7,1.01,18.76
20,2023-03-28,20230328,17.2,15.62,30.02,15.19
20,2023-03-03,20230303,0.6,4.64,0.51,17.69
20,2024-02-24,20240224,0.92,0,10.280000000000001,16.49
20,2024-02-29,20240229,0.13,0.06,3.7800000000000002,23.74
20,2023-03-14,20230314,0.78,0.37,4.909999999999999,16.03
21,2024-02-24,20240224,0.92,0,10.280000000000001,16.49
21,2024-02-29,20240229,0.13,0.06,3.7800000000000002,23.74
21,2024-03-12,20240312,0,0.08,3.68,21.54
21,2023-03-27,20230327,2.68,17.2,27.38,14.38
21,2023-03-14,20230314,0.78,0.37,4.909999999999999,16.03
21,2023-04-05,20230405,0.04,0.01,17.61,14.2
22,2024-02-27,20240227,0.05,0,7.01,17.8
22,2024-03-04,20240304,0.02,0.02,0.2,13.76
22,2024-03-18,20240318,3.31,3.09,9.870000000000001,14.64
22,2023-03-03,20230303,0.98,2.24,0.8300000000000001,16.05
22,2023-03-14,20230314,1.35,0.86,7.84,14.62
22,2023-04-03,20230403,0.14,0.56,37.07,11.71
23,2024-03-17,20240317,2.57,1.43,7.87,13.68
23,2024-03-28,20240328,0,0.01,0.18,15.98
23,2023-03-13,20230313,2.36,0.78,3.3499999999999996,13.63
23,2023-03-27,20230327,2.68,17.2,27.38,14.38
23,2023-04-10,20230410,0.05,0,16.64,6.39
23,2024-02-28,20240228,0.04,0.13,4.05,22.34
24,2023-03-13,20230313,2.36,0.78,3.3499999999999996,13.63
24,2023-03-27,20230327,2.68,17.2,27.38,14.38
24,2023-04-10,20230410,0.05,0,16.64,6.39
25,2023-03-27,20230327,2.68,17.2,27.38,14.38
25,2023-03-13,20230313,2.36,0.78,3.3499999999999996,13.63
